COG_FUNCTION	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	function_accession	gene_clusters_ids	p_Host	p_Environment	N_Host	N_Environment
ABC-type multidrug transport system, ATPase and permease component	0	1	1	NA	COG1132	GC_00000029, GC_00000678, GC_00001439, GC_00001471, GC_00001483, GC_00001608, GC_00001806, GC_00002547, GC_00002594, GC_00002608, GC_00002632, GC_00002916, GC_00003145, GC_00003157, GC_00003864, GC_00004072, GC_00004097, GC_00004235, GC_00004238, GC_00004388, GC_00004697, GC_00005257, GC_00005373, GC_00005720, GC_00005807, GC_00005936, GC_00005937, GC_00005938, GC_00006455, GC_00006560, GC_00006693, GC_00006727, GC_00006808, GC_00006859, GC_00006983, GC_00007343, GC_00007508, GC_00007535, GC_00007572, GC_00007649, GC_00007650, GC_00007651, GC_00008074, GC_00008924, GC_00009367, GC_00009852, GC_00009940, GC_00010163, GC_00010277, GC_00010299, GC_00010350, GC_00010500, GC_00010622, GC_00010648, GC_00010649, GC_00010748, GC_00010923, GC_00011055, GC_00011615, GC_00012190, GC_00012528, GC_00012556, GC_00012625, GC_00012673, GC_00013023, GC_00013335, GC_00013515, GC_00013762, GC_00014069, GC_00014080, GC_00014413, GC_00015878, GC_00015979, GC_00016585, GC_00017123, GC_00017499, GC_00018368, GC_00018418, GC_00019133, GC_00019434, GC_00020203, GC_00020902, GC_00022390, GC_00023372, GC_00023799, GC_00023974, GC_00024900, GC_00025832, GC_00026904, GC_00028499, GC_00028650, GC_00028920, GC_00029303, GC_00029352, GC_00029937, GC_00030265, GC_00030539, GC_00030698, GC_00030807, GC_00030879, GC_00030954, GC_00031333, GC_00031471, GC_00033050, GC_00034646, GC_00035002, GC_00035090, GC_00035389, GC_00036271, GC_00036889, GC_00036930, GC_00036948, GC_00036984, GC_00037094, GC_00037561, GC_00037734, GC_00037921, GC_00039688, GC_00039891, GC_00040282, GC_00040602, GC_00041404, GC_00041588, GC_00041663	1	1	50	21
Na+/H+-dicarboxylate symporter	0	1	1	NA	COG1301	GC_00000623, GC_00000809, GC_00001309, GC_00009252, GC_00018234, GC_00024260, GC_00041291	1	1	50	21
Acyl-CoA synthetase (AMP-forming)/AMP-acid ligase II	0	1	1	NA	COG0318	GC_00000020, GC_00000443, GC_00000635, GC_00000890, GC_00001170, GC_00001263, GC_00001736, GC_00002017, GC_00002035, GC_00002540, GC_00002554, GC_00003250, GC_00003276, GC_00003458, GC_00003919, GC_00004828, GC_00004946, GC_00005075, GC_00005293, GC_00006209, GC_00006488, GC_00008422, GC_00008432, GC_00008559, GC_00008866, GC_00008923, GC_00009378, GC_00009386, GC_00009606, GC_00011771, GC_00013597, GC_00014303, GC_00015231, GC_00016748, GC_00017168, GC_00017704, GC_00019430, GC_00019988, GC_00020693, GC_00021019, GC_00021105, GC_00021330, GC_00023261, GC_00023272, GC_00023921, GC_00024758, GC_00027365, GC_00027953, GC_00028347, GC_00029719, GC_00031897, GC_00032135, GC_00032464, GC_00032542, GC_00032740, GC_00032950, GC_00033047, GC_00033230, GC_00033711, GC_00034009, GC_00034185, GC_00034720, GC_00034911, GC_00034960, GC_00036081, GC_00036317, GC_00038383, GC_00038845, GC_00039740, GC_00039815, GC_00040618	1	1	50	21
ABC-type metal ion transport system, periplasmic component/surface antigen	0	1	1	NA	COG1464	GC_00000036, GC_00001816, GC_00004385, GC_00016295, GC_00018955, GC_00020767	1	1	50	21
Mannose-6-phosphate isomerase, class I	0	1	1	NA	COG1482	GC_00000979, GC_00003202, GC_00005598, GC_00010058, GC_00012276, GC_00036067, GC_00037101	1	1	50	21
RecA/RadA recombinase	0	1	1	NA	COG0468	GC_00000264, GC_00030786	1	1	50	21
DNA topoisomerase IA	0	1	1	NA	COG0550	GC_00000115, GC_00020951	1	1	50	21
Site-specific recombinase XerD	0	1	1	NA	COG4974	GC_00000718, GC_00000924, GC_00002446, GC_00003728, GC_00004807, GC_00006641, GC_00007715, GC_00008870, GC_00009560, GC_00011387, GC_00012271, GC_00012285, GC_00012814, GC_00012994, GC_00013727, GC_00014969, GC_00015345, GC_00015698, GC_00020126, GC_00020739, GC_00022207, GC_00022249, GC_00026585, GC_00026699, GC_00027753, GC_00028476, GC_00029585, GC_00029813, GC_00032412, GC_00033042, GC_00036330, GC_00037252, GC_00037637, GC_00040192, GC_00040221	1	1	50	21
Homoserine dehydrogenase	0	1	1	NA	COG0460	GC_00000267	1	1	50	21
Threonine synthase	0	1	1	NA	COG0498	GC_00000751, GC_00003017	1	1	50	21
Predicted GTPases	0	1	1	NA	COG1160	GC_00000013	1	1	50	21
Electron transfer flavoprotein, alpha subunit	0	1	1	NA	COG2025	GC_00000727, GC_00002311	1	1	50	21
ABC-type polysaccharide/polyol phosphate transport system, ATPase component	0	1	1	NA	COG1134	GC_00000213, GC_00002990, GC_00003257, GC_00010005, GC_00021354, GC_00038611, GC_00041418	1	1	50	21
ABC-type transport system involved in cytochrome c biogenesis, permease component	0	1	1	NA	COG0755	GC_00000042, GC_00012717	1	1	50	21
Ribosomal protein L33	0	1	1	NA	COG0267	GC_00000135	1	1	50	21
Predicted Zn-dependent protease, minimal metalloprotease (MMP)-like domain	0	1	1	NA	COG3824	GC_00000564, GC_00000639, GC_00031838, GC_00033103	1	1	50	21
dTDP-4-dehydrorhamnose reductase	0	1	1	NA	COG1091	GC_00001083, GC_00004896, GC_00007310, GC_00010679, GC_00011522, GC_00013644, GC_00017657, GC_00018803, GC_00020242, GC_00021161, GC_00023472, GC_00030858, GC_00033094, GC_00036743, GC_00037720, GC_00040786	1	1	50	21
Rad3-related DNA helicase	0	1	1	NA	COG1199	GC_00000075, GC_00020490, GC_00020551, GC_00028399, GC_00034634	1	1	50	21
Ribosomal protein S10	0	1	1	NA	COG0051	GC_00000134	1	1	50	21
Uncharacterized protein	0	1	1	NA	COG1507	GC_00000355, GC_00000366, GC_00001218, GC_00001368, GC_00001885, GC_00001974, GC_00002169, GC_00002484, GC_00003273, GC_00003747, GC_00003757, GC_00004403, GC_00004404, GC_00004727, GC_00004872, GC_00005233, GC_00005444, GC_00005640, GC_00006059, GC_00006159, GC_00006588, GC_00006605, GC_00006623, GC_00006857, GC_00007023, GC_00007524, GC_00007883, GC_00008227, GC_00008780, GC_00008887, GC_00008912, GC_00009228, GC_00009766, GC_00010236, GC_00010382, GC_00010767, GC_00010842, GC_00010999, GC_00011471, GC_00011518, GC_00011587, GC_00011594, GC_00011801, GC_00012211, GC_00012543, GC_00012787, GC_00012837, GC_00013027, GC_00013077, GC_00013314, GC_00013440, GC_00013579, GC_00013599, GC_00014215, GC_00014794, GC_00015375, GC_00015495, GC_00015570, GC_00016615, GC_00016963, GC_00017019, GC_00017416, GC_00018009, GC_00018348, GC_00018740, GC_00018929, GC_00019162, GC_00019539, GC_00019674, GC_00019999, GC_00021359, GC_00021460, GC_00021462, GC_00021846, GC_00022380, GC_00022951, GC_00023023, GC_00023087, GC_00023242, GC_00023838, GC_00023848, GC_00023973, GC_00024967, GC_00025218, GC_00025343, GC_00025755, GC_00027300, GC_00027664, GC_00028689, GC_00029349, GC_00029540, GC_00030980, GC_00031006, GC_00031378, GC_00031767, GC_00033278, GC_00033478, GC_00033915, GC_00034550, GC_00035493, GC_00036736, GC_00036963, GC_00037153, GC_00037404, GC_00038688, GC_00038965, GC_00039583, GC_00039731, GC_00040263	1	1	50	21
Dihydropteroate synthase	0	1	1	NA	COG0294	GC_00000807, GC_00000962, GC_00002596, GC_00009628	1	1	50	21
GTPase involved in cell partioning and DNA repair	0	1	1	NA	COG0536	GC_00000375	1	1	50	21
Archaeal 2-phospho-L-lactate transferase/Bacterial gluconeogenesis factor, CofD/UPF0052 family	0	1	1	NA	COG0391	GC_00000311	1	1	50	21
Glutamine synthetase adenylyltransferase	0	1	1	NA	COG1391	GC_00000304	1	1	50	21
Recombinational DNA repair protein RecR	0	1	1	NA	COG0353	GC_00000192	1	1	50	21
Protoporphyrinogen oxidase	0	1	1	NA	COG1232	GC_00000928, GC_00002563, GC_00005754, GC_00006053, GC_00006178, GC_00017371, GC_00022582, GC_00040512	1	1	50	21
Dihydrodipicolinate synthase/N-acetylneuraminate lyase	0	1	1	NA	COG0329	GC_00000296, GC_00001824, GC_00002226, GC_00004456, GC_00005049, GC_00006518, GC_00009165, GC_00012121, GC_00017366, GC_00018657, GC_00019407, GC_00019858, GC_00024651, GC_00025690, GC_00031903, GC_00035891	1	1	50	21
FMN phosphatase YigB, HAD superfamily	0	1	1	NA	COG1011	GC_00000225, GC_00003385, GC_00003417, GC_00003421, GC_00003897, GC_00003993, GC_00004251, GC_00007753, GC_00008382, GC_00011669, GC_00011789, GC_00012517, GC_00013138, GC_00013817, GC_00020232, GC_00020881, GC_00024975, GC_00026923, GC_00029607, GC_00030777, GC_00031262, GC_00031473, GC_00031493, GC_00032180, GC_00032671, GC_00033460, GC_00035818, GC_00037351, GC_00038024, GC_00038236	1	1	50	21
Predicted alpha-1,6-mannanase, GH76 family	0	1	1	NA	COG4833	GC_00000297	1	1	50	21
Uncharacterized membrane protein YgaE, UPF0421/DUF939 family	0	1	1	NA	COG4129	GC_00001081, GC_00001899, GC_00002157, GC_00002562, GC_00002649, GC_00004888, GC_00005649, GC_00005692, GC_00006073, GC_00006902, GC_00010633, GC_00018456, GC_00019616, GC_00023642, GC_00028001, GC_00028025, GC_00040860	1	1	50	21
Fumarate hydratase class II	0	1	1	NA	COG0114	GC_00000540, GC_00014591	1	1	50	21
DNA-directed RNA polymerase, beta subunit/140 kD subunit	0	1	1	NA	COG0085	GC_00000361	1	1	50	21
Predicted arabinose efflux permease, MFS family	0	1	1	NA	COG2814	GC_00000033, GC_00000798, GC_00000888, GC_00001131, GC_00001140, GC_00001248, GC_00001256, GC_00001324, GC_00001456, GC_00001478, GC_00001500, GC_00001560, GC_00001693, GC_00001769, GC_00001857, GC_00001898, GC_00001916, GC_00001983, GC_00002031, GC_00002144, GC_00002416, GC_00002536, GC_00002604, GC_00002799, GC_00002888, GC_00003023, GC_00003206, GC_00003220, GC_00003288, GC_00003397, GC_00003552, GC_00003681, GC_00003760, GC_00003902, GC_00003947, GC_00004040, GC_00004073, GC_00004081, GC_00004096, GC_00004449, GC_00004493, GC_00004566, GC_00004589, GC_00004688, GC_00004890, GC_00004993, GC_00005285, GC_00005369, GC_00005379, GC_00005388, GC_00005453, GC_00005466, GC_00005509, GC_00005537, GC_00005893, GC_00005965, GC_00006115, GC_00006191, GC_00006302, GC_00006338, GC_00006465, GC_00006545, GC_00006648, GC_00006716, GC_00006750, GC_00006776, GC_00006938, GC_00007506, GC_00007629, GC_00007931, GC_00008246, GC_00008395, GC_00008725, GC_00008783, GC_00008855, GC_00008885, GC_00008905, GC_00009094, GC_00009351, GC_00009410, GC_00009689, GC_00009774, GC_00009872, GC_00009954, GC_00009989, GC_00010326, GC_00010343, GC_00010768, GC_00011439, GC_00011624, GC_00011630, GC_00011695, GC_00012104, GC_00012150, GC_00012447, GC_00012535, GC_00012561, GC_00012653, GC_00012668, GC_00012922, GC_00012970, GC_00013008, GC_00013284, GC_00013371, GC_00013456, GC_00013520, GC_00013732, GC_00013961, GC_00014480, GC_00014683, GC_00014840, GC_00014990, GC_00015528, GC_00015905, GC_00015907, GC_00016063, GC_00016702, GC_00016704, GC_00017015, GC_00017036, GC_00017106, GC_00017208, GC_00017350, GC_00018329, GC_00018825, GC_00019228, GC_00019279, GC_00019950, GC_00019972, GC_00020167, GC_00021192, GC_00021563, GC_00021837, GC_00022517, GC_00023015, GC_00023111, GC_00023439, GC_00023591, GC_00023717, GC_00024262, GC_00024336, GC_00024608, GC_00024650, GC_00025167, GC_00025846, GC_00026197, GC_00026392, GC_00027341, GC_00027592, GC_00027693, GC_00028026, GC_00028186, GC_00028577, GC_00028990, GC_00029061, GC_00029076, GC_00029082, GC_00029624, GC_00029675, GC_00029680, GC_00029766, GC_00030036, GC_00030132, GC_00030345, GC_00030412, GC_00030904, GC_00030927, GC_00031202, GC_00031661, GC_00031679, GC_00031682, GC_00032028, GC_00032053, GC_00032276, GC_00032756, GC_00032835, GC_00032912, GC_00033098, GC_00034085, GC_00034180, GC_00034277, GC_00034519, GC_00034568, GC_00035035, GC_00035460, GC_00035740, GC_00035743, GC_00035800, GC_00035930, GC_00036082, GC_00036172, GC_00036929, GC_00037058, GC_00037090, GC_00037151, GC_00037246, GC_00037343, GC_00037360, GC_00037441, GC_00037571, GC_00037685, GC_00037876, GC_00037978, GC_00038202, GC_00038242, GC_00038584, GC_00038624, GC_00038686, GC_00038791, GC_00038837, GC_00038859, GC_00039296, GC_00039983, GC_00040354, GC_00040591, GC_00041082, GC_00041172, GC_00041662	1	1	50	21
Translation elongation factor EF-Tu, a GTPase	0	1	1	NA	COG0050	GC_00000209	1	1	50	21
Membrane-associated protease RseP, regulator of RpoE activity	0	1	1	NA	COG0750	GC_00000371	1	1	50	21
ABC-type methionine transport system, ATPase component	0	1	1	NA	COG1135	GC_00000425, GC_00002103, GC_00040981	1	1	50	21
Excinuclease UvrABC ATPase subunit	0	1	1	NA	COG0178	GC_00000276, GC_00001194, GC_00001454, GC_00003621, GC_00005334, GC_00010366, GC_00011913, GC_00023341, GC_00024343, GC_00025435, GC_00034336	1	1	50	21
Electron transfer flavoprotein, alpha and beta subunits	0	1	1	NA	COG2086	GC_00000728, GC_00003295, GC_00004553	1	1	50	21
Nucleoside diphosphate kinase	0	1	1	NA	COG0105	GC_00000234	1	1	50	21
DNA-directed RNA polymerase, subunit K/omega	0	1	1	NA	COG1758	GC_00000157	1	1	50	21
Serine protease, subtilisin family	0	1	1	NA	COG1404	GC_00003911, GC_00006936, GC_00007101, GC_00007750, GC_00007947, GC_00007986, GC_00008633, GC_00009832, GC_00010853, GC_00011170, GC_00012496, GC_00014014, GC_00014988, GC_00015032, GC_00015228, GC_00015305, GC_00015780, GC_00016052, GC_00016242, GC_00016327, GC_00016512, GC_00017258, GC_00017334, GC_00017566, GC_00017932, GC_00019626, GC_00020181, GC_00020402, GC_00021239, GC_00021783, GC_00023828, GC_00023869, GC_00024163, GC_00024509, GC_00024815, GC_00025300, GC_00025960, GC_00026802, GC_00027242, GC_00030086, GC_00030572, GC_00030708, GC_00030940, GC_00031525, GC_00031789, GC_00031997, GC_00032083, GC_00032411, GC_00032879, GC_00033201, GC_00033204, GC_00033210, GC_00033235, GC_00033457, GC_00034011, GC_00034548, GC_00035040, GC_00035249, GC_00035529, GC_00037426, GC_00038048, GC_00038063, GC_00039156, GC_00040450, GC_00040761, GC_00041976	1	1	50	21
Translation elongation factor EF-G, a GTPase	0	1	1	NA	COG0480	GC_00000531, GC_00017327	1	1	50	21
Periplasmic deferrochelatase/peroxidase EfeB	0	1	1	NA	COG2837	GC_00000835, GC_00002005, GC_00002172, GC_00002531, GC_00004636, GC_00005099, GC_00005602, GC_00006084, GC_00007068, GC_00008572, GC_00009859, GC_00009918, GC_00012913, GC_00033644	1	1	50	21
Thiamine monophosphate kinase	0	1	1	NA	COG0611	GC_00000624, GC_00039456	1	1	50	21
Undecaprenyl pyrophosphate synthase	0	1	1	NA	COG0020	GC_00000516, GC_00000525	1	1	50	21
L-asparaginase/archaeal Glu-tRNAGln amidotransferase subunit D	0	1	1	NA	COG0252	GC_00001453, GC_00003143, GC_00003144, GC_00003353, GC_00003391, GC_00004790, GC_00005924, GC_00011050, GC_00011151, GC_00018399, GC_00018745, GC_00023705, GC_00026153, GC_00028292, GC_00029069, GC_00029550, GC_00031626, GC_00032046, GC_00033029, GC_00033396, GC_00034028, GC_00040086	1	1	50	21
Aldo/keto reductase, related to diketogulonate reductase	0	1	1	NA	COG0656	GC_00001098, GC_00001473, GC_00001810, GC_00002366, GC_00003027, GC_00005360, GC_00005825, GC_00009031, GC_00013404, GC_00026648, GC_00027777, GC_00036474	1	1	50	21
Ribosomal protein S13	0	1	1	NA	COG0099	GC_00000155, GC_00000193, GC_00012000, GC_00022040, GC_00029532	1	1	50	21
Heme/copper-type cytochrome/quinol oxidase, subunit 2	0	1	1	NA	COG1622	GC_00000288	1	1	50	21
Aspartate/methionine/tyrosine aminotransferase	0	1	1	NA	COG0436	GC_00000045, GC_00000529, GC_00001204, GC_00001565, GC_00003533, GC_00005476, GC_00007429, GC_00009156, GC_00019548, GC_00022290, GC_00031865, GC_00039112	1	1	50	21
Peptide chain release factor RF-3	0	1	1	NA	COG4108	GC_00000102	1	1	50	21
Adenine/guanine phosphoribosyltransferase or related PRPP-binding protein	0	1	1	NA	COG0503	GC_00000323	1	1	50	21
ATP-dependent 26S proteasome regulatory subunit	0	1	1	NA	COG1222	GC_00000565, GC_00010448, GC_00015817	1	1	50	21
Translation initiation factor IF-2, a GTPase	0	1	1	NA	COG0532	GC_00000464	1	1	50	21
Superfamily II DNA and RNA helicase	0	1	1	NA	COG0513	GC_00000379, GC_00000607, GC_00000738, GC_00008423, GC_00015871, GC_00037012	1	1	50	21
Murein DD-endopeptidase MepM and murein hydrolase activator NlpD, contain LysM domain	0	1	1	NA	COG0739	GC_00000024, GC_00000983, GC_00001579, GC_00002364, GC_00002477, GC_00002778, GC_00002929, GC_00004518, GC_00005440, GC_00005805, GC_00006182, GC_00008216, GC_00009112, GC_00011700, GC_00013452, GC_00014875, GC_00014920, GC_00018110, GC_00019866, GC_00020452, GC_00027115, GC_00029342, GC_00033037, GC_00035032, GC_00035153, GC_00035797, GC_00036763, GC_00037696, GC_00039355, GC_00041312, GC_00041573	1	1	50	21
DNA repair exonuclease SbcCD ATPase subunit	0	1	1	NA	COG0419	GC_00006310, GC_00007614, GC_00007825, GC_00008621, GC_00010718, GC_00010855, GC_00010859, GC_00012286, GC_00013339, GC_00013461, GC_00014608, GC_00015250, GC_00016083, GC_00016497, GC_00016571, GC_00018554, GC_00019086, GC_00019900, GC_00020033, GC_00020554, GC_00020593, GC_00020738, GC_00021106, GC_00021310, GC_00022206, GC_00022818, GC_00022831, GC_00023812, GC_00024804, GC_00025383, GC_00025648, GC_00025657, GC_00026698, GC_00026813, GC_00026838, GC_00027148, GC_00028210, GC_00028477, GC_00028976, GC_00029019, GC_00029204, GC_00029759, GC_00030942, GC_00030973, GC_00031843, GC_00032284, GC_00033085, GC_00033089, GC_00033323, GC_00034195, GC_00035736, GC_00035995, GC_00036829, GC_00036846, GC_00036879, GC_00038044, GC_00038060, GC_00038155, GC_00038280, GC_00038668, GC_00038923, GC_00039011, GC_00039149, GC_00040357, GC_00041803	1	1	50	21
5'-3' exonuclease	0	1	1	NA	COG0258	GC_00000392, GC_00015279, GC_00015424	1	1	50	21
Glutamate 5-kinase	0	1	1	NA	COG0263	GC_00000312	1	1	50	21
Phosphomannomutase	0	1	1	NA	COG1109	GC_00000444, GC_00000544, GC_00001715, GC_00001805, GC_00002519, GC_00002945, GC_00009465, GC_00009761, GC_00011523, GC_00029024	1	1	50	21
Phosphopantothenoylcysteine synthetase/decarboxylase	0	1	1	NA	COG0452	GC_00000479, GC_00025718, GC_00027318	1	1	50	21
1-acyl-sn-glycerol-3-phosphate acyltransferase	0	1	1	NA	COG0204	GC_00000245, GC_00001436, GC_00002678, GC_00002826, GC_00004366, GC_00005239, GC_00005568, GC_00007208, GC_00010543, GC_00010914, GC_00012235, GC_00013303, GC_00013689, GC_00014139, GC_00017384, GC_00022261, GC_00022521, GC_00035998	1	1	50	21
Citrate synthase	0	1	1	NA	COG0372	GC_00000240, GC_00001102, GC_00035863, GC_00038635	1	1	50	21
Ribosomal protein L15	0	1	1	NA	COG0200	GC_00000187	1	1	50	21
Lipoprotein signal peptidase	0	1	1	NA	COG0597	GC_00000790, GC_00002544	1	1	50	21
Uracil phosphoribosyltransferase	0	1	1	NA	COG0035	GC_00000235, GC_00011331	1	1	50	21
tRNA/tmRNA/rRNA uracil-C5-methylase, TrmA/RlmC/RlmD family	0	1	1	NA	COG2265	GC_00000747, GC_00001306, GC_00003929, GC_00004381, GC_00004641, GC_00005872, GC_00008727, GC_00011960, GC_00012909, GC_00012956, GC_00013684, GC_00016510, GC_00023582, GC_00024553, GC_00028229, GC_00028756, GC_00029363, GC_00030239, GC_00031455, GC_00033766, GC_00034509, GC_00040716, GC_00041068	1	1	50	21
Ribosomal protein L24	0	1	1	NA	COG0198	GC_00000080	1	1	50	21
Spore coat protein CotF	0	1	1	NA	COG5577	GC_00000676, GC_00005822	1	1	50	21
Uncharacterized membrane-anchored protein	0	1	1	NA	COG4825	GC_00000574, GC_00026091	1	1	50	21
Uncharacterized membrane protein YphA, DoxX/SURF4 family	0	1	1	NA	COG2259	GC_00000633, GC_00001099, GC_00001378, GC_00002225, GC_00002404, GC_00002779, GC_00004017, GC_00004442, GC_00004934, GC_00005113, GC_00005513, GC_00006032, GC_00006167, GC_00007074, GC_00007168, GC_00007336, GC_00008895, GC_00009015, GC_00009073, GC_00009131, GC_00009699, GC_00009731, GC_00010206, GC_00010207, GC_00010701, GC_00010840, GC_00010954, GC_00011027, GC_00013341, GC_00013382, GC_00014483, GC_00015114, GC_00018295, GC_00018682, GC_00018879, GC_00018944, GC_00019085, GC_00020131, GC_00021451, GC_00021562, GC_00022527, GC_00022626, GC_00022825, GC_00023443, GC_00024369, GC_00025007, GC_00025885, GC_00026210, GC_00026749, GC_00027796, GC_00027853, GC_00028110, GC_00028411, GC_00029312, GC_00029563, GC_00030013, GC_00030022, GC_00030190, GC_00031003, GC_00031348, GC_00031446, GC_00031492, GC_00032386, GC_00032462, GC_00032717, GC_00033272, GC_00033288, GC_00033732, GC_00035082, GC_00037607, GC_00039343, GC_00039429, GC_00039818, GC_00040152, GC_00040336, GC_00040504, GC_00040586, GC_00040985, GC_00041966	1	1	50	21
Asp-tRNAAsn/Glu-tRNAGln amidotransferase C subunit	0	1	1	NA	COG0721	GC_00000191	1	1	50	21
Predicted Rossmann fold nucleotide-binding protein	0	1	1	NA	COG1611	GC_00000386, GC_00001370, GC_00003268, GC_00004440, GC_00004866, GC_00005585, GC_00008516, GC_00020724, GC_00035321	1	1	50	21
Ribosomal protein L3	0	1	1	NA	COG0087	GC_00000212	1	1	50	21
3-dehydroquinate dehydratase	0	1	1	NA	COG0757	GC_00000078, GC_00016433, GC_00028551	1	1	50	21
Cytochrome b subunit of the bc complex	0	1	1	NA	COG1290	GC_00000259	1	1	50	21
Predicted PurR-regulated permease PerM	0	1	1	NA	COG0628	GC_00000936, GC_00001001, GC_00002170, GC_00005270, GC_00006129, GC_00006278, GC_00020017, GC_00023652, GC_00025081	1	1	50	21
